Column;Description;
files;The <b>files</b> test shows the status of file- and directory-checks performed on the host. This is typically tests that check the size of files or directories, or check that they exist with the correct owner/group/permissions.;
ports;The <b>ports</b> column shows the status of select tcp ports and connections that are expected to exist on the system.;
conn;The <b>conn</b> test performs a "ping" of the host.;
ftp;The <b>ftp</b> test shows the status when trying to communicate with the FTP server on the host. ftp is commonly used to download files.;
ssh;The <b>ssh</b> column shows the status when trying to communicate with the Secure Shell (ssh) server on the host. ssh is commonly used for encrypted console access to Unix servers, or for copying files between systems.;
ssh1;The <b>ssh1</b> column shows the status when trying to communicate with the Secure Shell (ssh) server on the host. ssh is commonly used for encrypted console access to Unix servers, or for copying files between systems.;
ssh2;The <b>ssh2</b> column shows the status when trying to communicate with the Secure Shell (ssh) server on the host. ssh is commonly used for encrypted console access to Unix servers, or for copying files between systems.;
telnet;The <b>telnet</b> column shows the status when trying to communicate with the Telnet service on the host. telnet is commonly used for logging in to Unix servers or network devices such as routers.;
smtp;The <b>smtp</b> column shows the status when trying to communicate with the SMTP Mail transfer service on the host. smtp is used on mail servers that handle outgoing mail, or that relay mail from one system to another.;
pop;The <b>pop</b> column shows the status when trying to communicate with the POP Postoffice service on the host. pop is used when a user needs to pick up from from a central mailserver.;
pop2;The <b>pop2</b> column shows the status when trying to communicate with the POP Postoffice service on the host. pop is used when a user needs to pick up from from a central mailserver.;
pop-2;The <b>pop-2</b> column shows the status when trying to communicate with the POP Postoffice service on the host. pop is used when a user needs to pick up from from a central mailserver.;
pop3;The <b>pop3</b> column shows the status when trying to communicate with the POP Postoffice service on the host. pop is used when a user needs to pick up from from a central mailserver.;
pop-3;The <b>pop-3</b> column shows the status when trying to communicate with the POP Postoffice service on the host. pop is used when a user needs to pick up from from a central mailserver.;
imap;The <b>imap</b> column shows the status when trying to communicate with the IMAP Postoffice service on the host. imap is used when a user needs to pick up from from a central mailserver.;
imap2;The <b>imap2</b> column shows the status when trying to communicate with the IMAP Postoffice service on the host. imap is used when a user needs to pick up from from a central mailserver.;
imap3;The <b>imap3</b> column shows the status when trying to communicate with the IMAP Postoffice service on the host. imap is used when a user needs to pick up from from a central mailserver.;
imap4;The <b>imap4</b> column shows the status when trying to communicate with the IMAP Postoffice service on the host. imap is used when a user needs to pick up from from a central mailserver.;
nntp;The <b>nntp</b> column shows the status when trying to communicate with the NNTP News service on the host. NNTP is used to access discussion groups hosted by a central server.;
rsync;The <b>rsync</b> column shows the status when trying to communicate with the rsync service on the host. rsync is commonly used for automatic file-synchronization between hosts, or for distributing files between hosts.;
clamd;The <b>clamd</b> column shows the status of the CLAM anti-virus scanning daemon on the host. clamd is commonly used for virus-scanning of files that arrive in e-mail.;
spamd;The <b>spamd</b> column shows the status of the SpamAssassin spam scanning daemon on the host. spamd is commonly used for spam-scanning of files that arrive in e-mail.;
oratns;The <b>oratns</b> column shows the status of the Oracle TNS listener service on the host. Although the TNS listener is needed to access the Oracle databases, the fact that the TNS listener service is running is not a guarantee that the database itself is accessible.;
qmtp;The <b>qmtp</b> column shows the status of the qmail mail-transfer service on the host. qmtp is used to transfer mail between two mailservers running qmail.;
qmqp;The <b>qmqp</b> column shows the status of the qmail mail-queuing service on the host. qmqp is used when your central mailserver is running qmail, and your mail users need to deliver outgoing mail to the server.;
ldap;The <b>ldap</b> column shows the status of the LDAP Directory Service on the host. ldap is commonly used for storing information about users, e.g. their login-names and passwords, so if the ldap service is not running then users may have problems getting access to their systems.;
ftps;The <b>ftp</b> test shows the status when trying to communicate with the FTP server on the host over an SSL-encrypted connection. ftp is commonly used to download files.;
